run_id,loss,beta,sigma,lr,batch_size,seed,num_steps,final_mae,final_v_w_norm,v_w_norm_true,best_mae,best_step,best_v_w_norm,hjb_rmse,elapsed_sec
sig0.05_lr0.0005_B256_td_beta0_s1,td,0.0,0.05,0.0005,256,1,15000,0.27932651476921244,nan,nan,0.12496514246430171,10050,nan,nan,77.79179763793945
sig0.05_lr0.0005_B256_td_beta0_s0,td,0.0,0.05,0.0005,256,0,15000,0.2597716236314981,nan,nan,0.17448259733902952,12550,nan,nan,78.8043475151062
sig0.05_lr0.0005_B256_beta_dtd_beta0.1_s1,beta_dtd,0.1,0.05,0.0005,256,1,15000,0.27346453873725446,nan,nan,0.095034779287258,8800,nan,nan,109.70440793037415
sig0.05_lr0.0005_B256_beta_dtd_beta0.25_s0,beta_dtd,0.25,0.05,0.0005,256,0,15000,0.1918528833364868,nan,nan,0.09340483700912502,13450,nan,nan,110.79636263847351
sig0.05_lr0.0005_B256_beta_dtd_beta0.1_s0,beta_dtd,0.1,0.05,0.0005,256,0,15000,0.18936343658953428,nan,nan,0.09367891813868513,14800,nan,nan,111.02950668334961
sig0.05_lr0.0005_B256_beta_dtd_beta0.75_s0,beta_dtd,0.75,0.05,0.0005,256,0,15000,0.1241292687420383,nan,nan,0.09028339808004744,13650,nan,nan,110.99080657958984
sig0.05_lr0.0005_B256_beta_dtd_beta0.5_s0,beta_dtd,0.5,0.05,0.0005,256,0,15000,0.17287045992916883,nan,nan,0.12153718814779126,12800,nan,nan,111.41905879974365
sig0.05_lr0.0005_B256_beta_dtd_beta0.25_s1,beta_dtd,0.25,0.05,0.0005,256,1,15000,0.151582738370817,nan,nan,0.08198303688146868,11800,nan,nan,155.18008303642273
sig0.05_lr0.0005_B256_beta_dtd_beta0.5_s1,beta_dtd,0.5,0.05,0.0005,256,1,15000,0.2016443811015849,nan,nan,0.12840243399009948,13100,nan,nan,155.10871601104736
sig0.05_lr0.0005_B256_td_beta0_s2,td,0.0,0.05,0.0005,256,2,15000,0.16560546613411226,nan,nan,0.08711322822762627,10450,nan,nan,123.20483803749084
sig0.05_lr0.0005_B256_beta_dtd_beta0.75_s1,beta_dtd,0.75,0.05,0.0005,256,1,15000,0.13624784214163008,nan,nan,0.0702148117028,11300,nan,nan,141.678546667099
sig0.05_lr0.0005_B256_beta_dtd_beta0.25_s2,beta_dtd,0.25,0.05,0.0005,256,2,15000,0.1288749158430319,nan,nan,0.08118466058984487,12500,nan,nan,141.14260840415955
sig0.05_lr0.0005_B256_beta_dtd_beta0.5_s2,beta_dtd,0.5,0.05,0.0005,256,2,15000,0.12419520152459497,nan,nan,0.08404422479280028,13350,nan,nan,140.8422451019287
sig0.05_lr0.0005_B256_beta_dtd_beta0.1_s2,beta_dtd,0.1,0.05,0.0005,256,2,15000,0.319932328007099,nan,nan,0.09773598731534343,10450,nan,nan,141.6131134033203
sig0.05_lr0.0005_B256_beta_dtd_beta0.75_s2,beta_dtd,0.75,0.05,0.0005,256,2,15000,0.0885509000366827,nan,nan,0.0885509000366827,14999,nan,nan,81.05001187324524
sig0.05_lr0.0005_B1024_td_beta0_s0,td,0.0,0.05,0.0005,1024,0,15000,0.21058624238969043,nan,nan,0.14391063391062572,6600,nan,nan,107.95947813987732
sig0.05_lr0.0005_B1024_td_beta0_s1,td,0.0,0.05,0.0005,1024,1,15000,0.22749454220182394,nan,nan,0.09804019305873503,8050,nan,nan,113.84075736999512
sig0.05_lr0.0005_B1024_beta_dtd_beta0.1_s0,beta_dtd,0.1,0.05,0.0005,1024,0,15000,0.3484285287827912,nan,nan,0.17122687385734056,7950,nan,nan,164.2151141166687
sig0.05_lr0.0005_B1024_beta_dtd_beta0.25_s0,beta_dtd,0.25,0.05,0.0005,1024,0,15000,0.3264585770567007,nan,nan,0.1055564567900323,8300,nan,nan,171.4528365135193
sig0.05_lr0.0005_B1024_beta_dtd_beta0.5_s0,beta_dtd,0.5,0.05,0.0005,1024,0,15000,0.1737299692019482,nan,nan,0.12010626241905141,9450,nan,nan,172.6643009185791
sig0.05_lr0.0005_B1024_beta_dtd_beta0.75_s0,beta_dtd,0.75,0.05,0.0005,1024,0,15000,0.12822407324614793,nan,nan,0.07967867956921125,14650,nan,nan,173.3060269355774
sig0.05_lr0.0005_B1024_beta_dtd_beta0.1_s1,beta_dtd,0.1,0.05,0.0005,1024,1,15000,0.18332971354393407,nan,nan,0.08358727047946331,11400,nan,nan,173.16223764419556
sig0.05_lr0.0005_B1024_beta_dtd_beta0.25_s1,beta_dtd,0.25,0.05,0.0005,1024,1,15000,0.2421520344109667,nan,nan,0.11080342978662593,7800,nan,nan,176.19204783439636
sig0.05_lr0.0005_B1024_td_beta0_s2,td,0.0,0.05,0.0005,1024,2,15000,0.19892707825480813,nan,nan,0.08857429558617384,11500,nan,nan,115.75383377075195
sig0.05_lr0.0005_B1024_beta_dtd_beta0.5_s1,beta_dtd,0.5,0.05,0.0005,1024,1,15000,0.29512523257876344,nan,nan,0.1355817057167878,7750,nan,nan,174.8498363494873
sig0.05_lr0.0005_B1024_beta_dtd_beta0.75_s1,beta_dtd,0.75,0.05,0.0005,1024,1,15000,0.14009927427587474,nan,nan,0.09865607930614921,14600,nan,nan,176.87262511253357
sig0.05_lr0.0005_B1024_beta_dtd_beta0.25_s2,beta_dtd,0.25,0.05,0.0005,1024,2,15000,0.21100461320124905,nan,nan,0.09166529715205592,7850,nan,nan,177.10979628562927
sig0.05_lr0.0005_B1024_beta_dtd_beta0.1_s2,beta_dtd,0.1,0.05,0.0005,1024,2,15000,0.2869148912308306,nan,nan,0.07956526903245523,10600,nan,nan,179.60307240486145
sig0.05_lr0.0005_B1024_beta_dtd_beta0.5_s2,beta_dtd,0.5,0.05,0.0005,1024,2,15000,0.14009218300378767,nan,nan,0.118125483925665,8600,nan,nan,185.13491797447205
sig0.05_lr0.0005_B1024_beta_dtd_beta0.75_s2,beta_dtd,0.75,0.05,0.0005,1024,2,15000,0.09604086345681949,nan,nan,0.06857134910252219,13000,nan,nan,191.79332089424133
sig0.05_lr0.0005_B4096_td_beta0_s0,td,0.0,0.05,0.0005,4096,0,15000,0.3722533979379604,nan,nan,0.19145159113489388,14750,nan,nan,341.66067814826965
sig0.05_lr0.0005_B4096_td_beta0_s1,td,0.0,0.05,0.0005,4096,1,15000,0.237521745860901,nan,nan,0.12653018974294825,7450,nan,nan,348.590416431427
sig0.05_lr0.0005_B4096_beta_dtd_beta0.1_s0,beta_dtd,0.1,0.05,0.0005,4096,0,15000,0.33506075203723246,nan,nan,0.1220945534401387,5950,nan,nan,583.0768656730652
sig0.05_lr0.0005_B4096_beta_dtd_beta0.25_s0,beta_dtd,0.25,0.05,0.0005,4096,0,15000,0.2528779750962108,nan,nan,0.1448806049460085,14750,nan,nan,586.6008386611938
sig0.05_lr0.0005_B4096_beta_dtd_beta0.5_s0,beta_dtd,0.5,0.05,0.0005,4096,0,15000,0.209875019218995,nan,nan,0.09682233810534845,12200,nan,nan,595.5813271999359
sig0.05_lr0.0005_B4096_beta_dtd_beta0.75_s0,beta_dtd,0.75,0.05,0.0005,4096,0,15000,0.11079646855121357,nan,nan,0.08504433605216645,14600,nan,nan,594.3421285152435
sig0.05_lr0.0005_B4096_beta_dtd_beta0.1_s1,beta_dtd,0.1,0.05,0.0005,4096,1,15000,0.3160138837631251,nan,nan,0.11818101672501266,7800,nan,nan,601.3380749225616
sig0.05_lr0.0005_B4096_beta_dtd_beta0.25_s1,beta_dtd,0.25,0.05,0.0005,4096,1,15000,0.2904288551706459,nan,nan,0.11733907243771725,7550,nan,nan,597.5818085670471
sig0.05_lr0.0005_B4096_td_beta0_s2,td,0.0,0.05,0.0005,4096,2,15000,0.18508232728388163,nan,nan,0.0896848374163697,8600,nan,nan,348.4527015686035
sig0.05_lr0.002_B256_td_beta0_s0,td,0.0,0.05,0.002,256,0,15000,0.41488310055734723,nan,nan,0.174867258713177,9500,nan,nan,76.13251328468323
sig0.05_lr0.0005_B4096_beta_dtd_beta0.5_s1,beta_dtd,0.5,0.05,0.0005,4096,1,15000,0.18299375702458423,nan,nan,0.14954866412964657,7500,nan,nan,588.7335391044617
sig0.05_lr0.002_B256_beta_dtd_beta0.1_s0,beta_dtd,0.1,0.05,0.002,256,0,15000,0.7358953372008012,nan,nan,0.20356099760409124,7850,nan,nan,103.1838116645813
sig0.05_lr0.0005_B4096_beta_dtd_beta0.75_s1,beta_dtd,0.75,0.05,0.0005,4096,1,15000,0.11500805457698493,nan,nan,0.10027098458852662,14100,nan,nan,580.4677324295044
sig0.05_lr0.002_B256_beta_dtd_beta0.25_s0,beta_dtd,0.25,0.05,0.002,256,0,15000,0.3603792529993294,nan,nan,0.21088422551073643,8450,nan,nan,102.27053165435791
sig0.05_lr0.0005_B4096_beta_dtd_beta0.25_s2,beta_dtd,0.25,0.05,0.0005,4096,2,15000,0.18155335135794454,nan,nan,0.10533424077176157,12850,nan,nan,572.2989854812622
sig0.05_lr0.0005_B4096_beta_dtd_beta0.1_s2,beta_dtd,0.1,0.05,0.0005,4096,2,15000,0.2122978872142528,nan,nan,0.12965762168255776,10050,nan,nan,573.1242942810059
sig0.05_lr0.002_B256_td_beta0_s1,td,0.0,0.05,0.002,256,1,15000,0.504090384520577,nan,nan,0.18536922565088676,4700,nan,nan,69.22964024543762
sig0.05_lr0.002_B256_beta_dtd_beta0.5_s0,beta_dtd,0.5,0.05,0.002,256,0,15000,0.2690323510538751,nan,nan,0.16768914578396318,2250,nan,nan,95.0361738204956
