run_id,loss,beta,sigma,lr,batch_size,seed,num_steps,final_mae,final_v_w_norm,v_w_norm_true,best_mae,best_step,best_v_w_norm,hjb_rmse,elapsed_sec
sig0.05_lr0.0005_B256_td_beta0_s1,td,0.0,0.05,0.0005,256,1,15000,40.61328557937647,209.53997802734375,732.4525030772962,37.426890904237766,14550,204.2089080810547,6.8771458149458695,32.923656940460205
sig0.05_lr0.0005_B256_td_beta0_s0,td,0.0,0.05,0.0005,256,0,15000,43.812826173457545,215.29669189453125,732.4525030772962,38.6501164197849,14700,206.4523468017578,7.053815099740946,33.97084593772888
sig0.05_lr0.0005_B256_beta_dtd_beta0.1_s0,beta_dtd,0.1,0.05,0.0005,256,0,15000,43.584447533917086,213.60475158691406,732.4525030772962,38.49848112255479,14700,205.22158813476562,7.045633042894503,42.17403697967529
sig0.05_lr0.0005_B256_beta_dtd_beta0.5_s0,beta_dtd,0.5,0.05,0.0005,256,0,15000,42.472066759807774,204.27667236328125,732.4525030772962,37.75130860931922,14800,197.107666015625,7.022525905856722,42.59926795959473
sig0.05_lr0.0005_B256_beta_dtd_beta0.75_s0,beta_dtd,0.75,0.05,0.0005,256,0,15000,41.04526701711904,195.44625854492188,732.4525030772962,38.495172662258696,14850,193.86294555664062,7.051500550009938,43.70170593261719
sig0.05_lr0.0005_B256_beta_dtd_beta0.1_s1,beta_dtd,0.1,0.05,0.0005,256,1,15000,40.69011484115626,208.6075439453125,732.4525030772962,37.41637531612057,14550,203.63465881347656,6.869470282251734,43.8325560092926
sig0.05_lr0.0005_B256_beta_dtd_beta0.25_s0,beta_dtd,0.25,0.05,0.0005,256,0,15000,43.20223122737242,210.58221435546875,732.4525030772962,38.260806812103624,14800,203.5919189453125,7.033921227036934,43.855854988098145
sig0.05_lr0.0005_B256_beta_dtd_beta0.25_s1,beta_dtd,0.25,0.05,0.0005,256,1,15000,40.84285909622218,206.56544494628906,732.4525030772962,37.41558971534727,14550,202.49928283691406,6.854870906576138,36.671157121658325
sig0.05_lr0.0005_B256_td_beta0_s2,td,0.0,0.05,0.0005,256,2,15000,39.96946263003033,223.68093872070312,732.4525030772962,39.6612308066927,14650,207.65101623535156,6.983278233671388,28.001901149749756
sig0.05_lr0.0005_B256_beta_dtd_beta0.5_s1,beta_dtd,0.5,0.05,0.0005,256,1,15000,41.14037595457989,199.6488037109375,732.4525030772962,37.70025102321728,14550,198.96412658691406,6.817137363005361,37.79057216644287
sig0.05_lr0.0005_B256_beta_dtd_beta0.75_s1,beta_dtd,0.75,0.05,0.0005,256,1,15000,43.1700006431292,187.4131622314453,732.4525030772962,38.28411254119997,14900,200.14642333984375,6.81529859404466,36.216585874557495
sig0.05_lr0.0005_B256_beta_dtd_beta0.5_s2,beta_dtd,0.5,0.05,0.0005,256,2,15000,39.69601730502112,216.13890075683594,732.4525030772962,38.96609965739931,14250,190.98196411132812,6.916874470224743,36.937705993652344
sig0.05_lr0.0005_B256_beta_dtd_beta0.1_s2,beta_dtd,0.1,0.05,0.0005,256,2,15000,39.8270268239897,222.6844940185547,732.4525030772962,39.548948323616955,14650,206.4929962158203,6.971282656131835,37.10091686248779
sig0.05_lr0.0005_B256_beta_dtd_beta0.25_s2,beta_dtd,0.25,0.05,0.0005,256,2,15000,39.6646937021163,220.82325744628906,732.4525030772962,39.38114091371796,14650,204.59878540039062,6.951616825261612,36.98639988899231
sig0.05_lr0.0005_B256_beta_dtd_beta0.75_s2,beta_dtd,0.75,0.05,0.0005,256,2,15000,41.74079154051898,204.23068237304688,732.4525030772962,40.806239761416606,14650,194.585693359375,6.904173576057937,34.35094094276428
sig0.05_lr0.0005_B1024_td_beta0_s0,td,0.0,0.05,0.0005,1024,0,15000,33.892185124752544,220.06898498535156,732.4525030772962,32.437630952044316,14900,225.09548950195312,6.242626254724035,78.47610902786255
sig0.05_lr0.0005_B1024_td_beta0_s1,td,0.0,0.05,0.0005,1024,1,15000,34.303646359802826,214.1048583984375,732.4525030772962,33.10482966012316,14900,216.85586547851562,6.374097081326661,78.09924411773682
sig0.05_lr0.0005_B1024_beta_dtd_beta0.1_s0,beta_dtd,0.1,0.05,0.0005,1024,0,15000,34.00135416687654,218.77613830566406,732.4525030772962,32.561067005644944,14900,224.08465576171875,6.2416869687597565,95.94635009765625
sig0.05_lr0.0005_B1024_beta_dtd_beta0.25_s0,beta_dtd,0.25,0.05,0.0005,1024,0,15000,34.19113052153757,216.39610290527344,732.4525030772962,32.92304016379908,14900,222.14566040039062,6.241110247162052,95.88057398796082
sig0.05_lr0.0005_B1024_beta_dtd_beta0.75_s0,beta_dtd,0.75,0.05,0.0005,1024,0,15000,38.46494714351188,203.3057403564453,732.4525030772962,37.81774856376914,14700,201.53469848632812,6.326206981409113,95.66094994544983
sig0.05_lr0.0005_B1024_beta_dtd_beta0.5_s0,beta_dtd,0.5,0.05,0.0005,1024,0,15000,35.00500864545585,211.04251098632812,732.4525030772962,34.27291483950591,14750,210.29595947265625,6.249890841632872,96.85096406936646
sig0.05_lr0.0005_B1024_beta_dtd_beta0.1_s1,beta_dtd,0.1,0.05,0.0005,1024,1,15000,34.58837659204189,212.91392517089844,732.4525030772962,33.2190717252681,14900,215.77784729003906,6.374920596659127,95.23108506202698
sig0.05_lr0.0005_B1024_beta_dtd_beta0.25_s1,beta_dtd,0.25,0.05,0.0005,1024,1,15000,35.168427451830105,210.9937744140625,732.4525030772962,33.47728497114399,14900,214.0523223876953,6.37875713362234,95.85425209999084
sig0.05_lr0.0005_B1024_td_beta0_s2,td,0.0,0.05,0.0005,1024,2,15000,31.99521461154815,226.7653350830078,732.4525030772962,31.819827143838655,14950,223.55014038085938,6.215729581519178,81.44652700424194
sig0.05_lr0.0005_B1024_beta_dtd_beta0.5_s1,beta_dtd,0.5,0.05,0.0005,1024,1,15000,36.83243246434231,206.403564453125,732.4525030772962,34.433490372754434,14900,209.80751037597656,6.400570371368487,97.42571520805359
sig0.05_lr0.0005_B1024_beta_dtd_beta0.75_s1,beta_dtd,0.75,0.05,0.0005,1024,1,15000,41.19679688705262,198.93536376953125,732.4525030772962,38.735142982231366,14900,200.91268920898438,6.507423128898562,97.08117294311523
sig0.05_lr0.0005_B1024_beta_dtd_beta0.1_s2,beta_dtd,0.1,0.05,0.0005,1024,2,15000,32.06703617609506,225.50885009765625,732.4525030772962,31.989064580122403,14950,221.96888732910156,6.2145559431563635,95.95067715644836
sig0.05_lr0.0005_B1024_beta_dtd_beta0.25_s2,beta_dtd,0.25,0.05,0.0005,1024,2,15000,32.24091423243155,223.51473999023438,732.4525030772962,32.24091423243155,14999,223.51473999023438,6.213157448207882,95.82334280014038
sig0.05_lr0.0005_B1024_beta_dtd_beta0.5_s2,beta_dtd,0.5,0.05,0.0005,1024,2,15000,33.1899762205291,219.41233825683594,732.4525030772962,32.96601130772747,14700,216.62283325195312,6.217152334765758,95.11170697212219
sig0.05_lr0.0005_B1024_beta_dtd_beta0.75_s2,beta_dtd,0.75,0.05,0.0005,1024,2,15000,36.539945941948126,211.83241271972656,732.4525030772962,36.40276278936065,14700,210.75538635253906,6.278870025007443,93.12180495262146
sig0.05_lr0.0005_B4096_td_beta0_s0,td,0.0,0.05,0.0005,4096,0,15000,27.487927659442377,255.80479431152344,732.4525030772962,27.26795336875027,14950,247.11325073242188,5.642234615677557,287.08167910575867
sig0.05_lr0.0005_B4096_td_beta0_s1,td,0.0,0.05,0.0005,4096,1,15000,28.865368049278235,248.05136108398438,732.4525030772962,27.617266365308634,14850,245.74627685546875,5.727753935399504,285.60183215141296
sig0.05_lr0.0005_B4096_beta_dtd_beta0.1_s0,beta_dtd,0.1,0.05,0.0005,4096,0,15000,27.42472331373925,254.21421813964844,732.4525030772962,27.403747186212012,14950,245.5572509765625,5.643174760658839,385.7416932582855
sig0.05_lr0.0005_B4096_beta_dtd_beta0.25_s0,beta_dtd,0.25,0.05,0.0005,4096,0,15000,27.2940581382978,251.36770629882812,732.4525030772962,27.2940581382978,14999,251.36770629882812,5.646750384829843,498.8629229068756
sig0.05_lr0.0005_B4096_beta_dtd_beta0.5_s0,beta_dtd,0.5,0.05,0.0005,4096,0,15000,27.988080278181137,244.84963989257812,732.4525030772962,27.988080278181137,14999,244.84963989257812,5.669467071593348,502.4182300567627
sig0.05_lr0.0005_B4096_beta_dtd_beta0.75_s0,beta_dtd,0.75,0.05,0.0005,4096,0,15000,32.46656363571216,233.1771697998047,732.4525030772962,32.46656363571216,14999,233.1771697998047,5.776857020704352,503.765095949173
sig0.05_lr0.0005_B4096_beta_dtd_beta0.1_s1,beta_dtd,0.1,0.05,0.0005,4096,1,15000,29.08686241878507,246.65528869628906,732.4525030772962,27.84012198313659,14850,244.69419860839844,5.730484857441185,512.5300252437592
sig0.05_lr0.0005_B4096_beta_dtd_beta0.25_s1,beta_dtd,0.25,0.05,0.0005,4096,1,15000,29.567360407508133,244.0094757080078,732.4525030772962,28.250427744330864,14850,242.68792724609375,5.7372915748629865,514.4366791248322
sig0.05_lr0.0005_B4096_td_beta0_s2,td,0.0,0.05,0.0005,4096,2,15000,31.0787616094851,259.8769226074219,732.4525030772962,28.355105643339893,14900,242.8111572265625,5.752014817215669,300.63637804985046
sig0.05_lr0.002_B256_td_beta0_s0,td,0.0,0.05,0.002,256,0,15000,28.59417422792837,481.7878112792969,732.4525030772962,7.884551619063029,14150,467.0567932128906,3.3811646190737665,25.402281999588013
sig0.05_lr0.0005_B4096_beta_dtd_beta0.5_s1,beta_dtd,0.5,0.05,0.0005,4096,1,15000,31.248285938286017,236.90594482421875,732.4525030772962,29.133476302723114,14800,238.19189453125,5.763273422695252,514.2923409938812
